Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
USA,29-Nov-16,19-May-17,171,Model S 90D,5000,29.1,291,No,5000,172,263,295,a few times a year,a few times a year,never,90%,16.09
USA,29-Nov-16,24-Aug-17,268,Model S 90D,10000,37.2,284,No,10000,269,263,295,a few times a year,a few times a year,never,90%,32.57
USA,15-Jan-16,8-Oct-17,632,Model S 90D,46000,72.7,272,No,46000,633,367,295,twice a week,twice a month,monthly,90%,214.78
USA,1-Jan-17,30-Oct-17,302,Model S 75D,18827,62.1,256,No,18827,303,,262,,,,,
USA,14-Apr-17,1-Nov-17,201,Model S 75D,5451,27,256,No,5451,202,273,262,a few times a year,a few times a year,never,70%,20.45
USA,17-Jul-13,1-Oct-16,1172,Model S 60,77500,66.1,191,No,77500,"1,173",273,210,,,,,376.61
USA,5-Feb-13,3-Nov-17,1732,Model S 85,60373,34.8,252,No,60373,"1,733",297,269,a few times a year,a few times a year,a few times a year,90%,238.99
USA,31-Dec-12,3-Dec-17,1798,Model S 60,82000,45.6,178,No,82000,"1,799",350,210,monthly,monthly,once or twice a year,90%,531.17
USA,15-Dec-16,3-Dec-17,353,Model S 75,33000,93.2,229,No,33000,354,312,249,monthly,monthly,a few times a year,90%,145.68
USA,15-Apr-13,10-Dec-17,1700,Model S 85,58070,34.1,244,No,58070,"1,701",321,269,a few times a year,a few times a year,never,90%,250.8
USA,20-Aug-13,1-Dec-17,1564,Model S 85,91128,58.2,247,No,91128,"1,565",326,269,twice a week,twice a month,never,80%,397.32
USA,20-Dec-16,14-Dec-17,359,Model S 75D,28583,79.4,252,No,28583,360,,262,monthly,weekly,once or twice a year,90%,
USA,27-Apr-17,15-Dec-17,232,Model S 60D,8286,35.6,213,No,8286,233,301,222,twice a month,weekly,never,80%,43.26
USA,15-Jun-17,16-Dec-17,184,Model X 100D,4047,21.9,294,No,4047,185,232,295,weekly,monthly,never,80%,9.57
USA,9-Aug-13,30-Dec-17,1604,Model S 85,114306,71.2,242,No,114306,"1,605",322,269,twice a week,a few times a year,a few times a year,80%,497.11
USA,26-Mar-14,2-Jan-18,1378,Model S 85,142000,103,243,No,142000,"1,379",321,269,twice a week,twice a month,a few times a year,80%,614.38
USA,7-Jun-13,3-Jan-18,1671,Model S P85,96003,57.4,244,No,96003,"1,672",307,269,weekly,a few times a year,once or twice a year,90%,396.5
USA,5-Feb-13,25-Jan-18,1815,Model S 85,61535,33.9,252,No,61535,"1,816",297,269,a few times a year,a few times a year,a few times a year,90%,243.59
USA,31-Dec-17,25-Jan-18,25,Model 3 LR,120,4.6,312,No,120,26,230,310,never,never,never,90%,0.35
USA,30-Jun-16,28-Jan-18,577,Model S 90D,24881,43,288,No,24881,578,283,295,twice a month,a few times a year,never,80%,87.13
USA,1-Mar-16,1-Jan-18,671,Model X 90D,20362,30.3,242,No,20362,672,375,260,,,,,96.14
USA,7-Dec-17,13-Feb-18,68,Model X 100D,3405,49.3,295,No,3405,69,400,295,weekly,a few times a year,never,80%,13.76
USA,14-Sep-16,17-Feb-18,521,Model S 75,28993,55.5,240,No,28993,522,282,249,monthly,a few times a year,never,80%,113.07
USA,1-Dec-17,20-Feb-18,81,Model X 100D,3690,45,298,No,3690,82,450,295,weekly,twice a month,once or twice a year,80%,16.79
USA,11-Jan-13,26-Feb-18,1872,Model S 85,88024,47,256,No,88024,"1,873",317,269,weekly,monthly,twice a month,80%,366.78
USA,30-Jun-16,28-Feb-18,608,Model S 90D,25604,42,288,No,25604,609,284,295,twice a month,a few times a year,never,80%,89.93
USA,26-Mar-14,20-Feb-18,1427,Model S 85,151000,105.7,242,No,151000,"1,428",322,269,weekly,twice a month,a few times a year,80%,656.66
USA,7-Dec-17,3-Jan-18,27,Model X 100D,6592,235.4,295,No,6592,28,400,295,twice a week,a few times a year,never,80%,26.63
USA,20-Oct-17,5-Feb-18,108,Model S 100D,4407,40.4,333,No,4407,109,356,335,a few times a year,once or twice a year,never,80%,15.9
USA,27-Apr-17,7-Mar-18,314,Model S 75D,11668,37,247,No,11668,315,317,262,twice a month,never,once or twice a year,80%,51.71
USA,31-Dec-17,8-Mar-18,67,Model 3 LR,662,9.7,312,No,662,68,216,310,never,never,never,90%,1.81
USA,23-Mar-13,3-Mar-18,1806,Model S P85,85000,47,238,No,85000,"1,807",362,269,a few times a year,a few times a year,a few times a year,90%,421.38
