Location,ManufactureDate,ReadDate,AgeInDays,Model,MileageKM,MileagePerDay,MaxRangeKM,ReplacementBatt,MileageSinceNewKM,Battery AgeDays,WattHoursPerKM,OriginalRangeKM,SuperchargeFreq,MaxChargeFreq,RunToEmptyFreq,DailyChargeLevel,Cycles
Asia Pacific & Europe (excl UK),20-Jun-14,19-Jan-15,213,Model S 85,18500,86.4,381,No,18500,214,240,400,monthly,a few times a year,once or twice a year,,58.33
Asia Pacific & Europe (excl UK),31-Dec-13,20-Jan-15,385,Unspecified 85 kWh,30000,77.7,384,No,30000,386,221,400,once or twice a year,twice a month,never,,86.88
Asia Pacific & Europe (excl UK),13-Mar-14,20-Jan-15,313,Model S P85+,23056,73.4,384,No,23056,314,248,400,twice a month,monthly,once or twice a year,,74.83
Asia Pacific & Europe (excl UK),10-Dec-13,21-Jan-15,407,Model S P85,33000,80.9,384,No,33000,408,209,400,twice a month,monthly,never,,90.83
Asia Pacific & Europe (excl UK),30-Sep-14,22-Jan-15,114,Model S 85,13425,116.7,391,No,13425,115,265,400,twice a month,twice a month,never,80%,46.14
Asia Pacific & Europe (excl UK),25-Nov-13,22-Jan-15,423,Model S P85+,36000,84.9,379,No,36000,424,228,400,twice a month,monthly,never,,108.12
Asia Pacific & Europe (excl UK),13-Sep-13,24-Jan-15,498,Model S P85+,39600,79.4,385,Yes,27309,344,233,400,monthly,monthly,once or twice a year,,83.27
Asia Pacific & Europe (excl UK),23-Dec-13,25-Jan-15,398,Model S P85,33000,82.7,375,No,33000,399,230,400,twice a month,monthly,monthly,,100.49
Asia Pacific & Europe (excl UK),26-Sep-13,25-Jan-15,486,Model S 85,63000,129.4,374,No,63000,487,224,400,weekly,twice a month,once or twice a year,,187.09
Asia Pacific & Europe (excl UK),7-Dec-13,27-Jan-15,416,Unspecified 85 kWh,65065,156,373,No,65065,417,212,400,monthly,twice a month,never,,183.1
Asia Pacific & Europe (excl UK),14-Nov-13,29-Jan-15,441,Model S 85,32302,73.1,388,Yes,20302,278,238,400,monthly,a few times a year,never,,62.92
Asia Pacific & Europe (excl UK),26-Nov-13,31-Jan-15,431,Model S 85,45845,106.1,391,No,45845,432,231,400,a few times a year,monthly,a few times a year,,137.36
Asia Pacific & Europe (excl UK),17-Dec-14,31-Jan-15,45,Model S 85,5500,119.6,395,No,5500,46,250,400,twice a week,monthly,never,,17.74
Asia Pacific & Europe (excl UK),25-Nov-14,2-Feb-15,69,Model S 85,7330,104.7,391,No,7330,70,245,400,weekly,monthly,never,,23.29
Asia Pacific & Europe (excl UK),1-Dec-13,2-Feb-15,428,Unspecified 85 kWh,50000,116.6,386,No,50000,429,218,400,never,never,never,,142.46
Asia Pacific & Europe (excl UK),29-Nov-13,4-Feb-15,432,Model S 85,41000,94.7,375,Yes,32881,347,266,400,a few times a year,once or twice a year,once or twice a year,,115.8
Asia Pacific & Europe (excl UK),20-Nov-13,6-Feb-15,443,Model S 85,53833,121.2,378,No,53833,444,192,400,weekly,once or twice a year,never,,137.16
Asia Pacific & Europe (excl UK),22-Nov-13,12-Feb-15,447,Model S 60,33000,73.7,277,No,33000,448,193,289,never,never,never,,110.66
Asia Pacific & Europe (excl UK),10-Sep-13,13-Feb-15,521,Model S P85,90000,172.4,379,No,90000,522,220,400,twice a month,daily,once or twice a year,100%,260.79
Asia Pacific & Europe (excl UK),21-Feb-14,14-Feb-15,358,Unspecified 85 kWh,18000,50.1,380,No,18000,359,217,400,once or twice a year,a few times a year,once or twice a year,,51.39
Asia Pacific & Europe (excl UK),13-Dec-13,14-Feb-15,428,Model S 85,27000,62.9,373,No,27000,429,218,400,twice a month,monthly,a few times a year,,78.14
Asia Pacific & Europe (excl UK),13-Dec-14,20-Feb-15,69,Model S 85,5500,78.6,399,No,5500,70,260,400,twice a month,twice a month,a few times a year,,18.36
Asia Pacific & Europe (excl UK),18-Nov-13,20-Feb-15,459,Model S 85,54432,118.3,376,No,54432,460,228,400,twice a month,twice a month,a few times a year,,165.11
Asia Pacific & Europe (excl UK),23-Dec-13,21-Feb-15,425,Model S 85,33700,79.1,387,No,33700,426,201,400,monthly,a few times a year,never,,88.86
Asia Pacific & Europe (excl UK),30-Sep-14,23-Feb-15,146,Model S 85,15930,108.4,387,No,15930,147,269,400,twice a month,twice a month,never,80%,55.86
Asia Pacific & Europe (excl UK),26-Sep-13,25-Feb-15,517,Model S 85,68018,131.3,373,Yes,68018,518,226,400,twice a month,monthly,once or twice a year,,204.05
Asia Pacific & Europe (excl UK),20-Nov-13,28-Feb-15,465,Model S 85,30100,64.6,380,No,30100,466,242,400,never,never,never,,95.83
Asia Pacific & Europe (excl UK),4-Jun-14,28-Feb-15,269,Model S 85,37042,137.2,380,No,37042,270,195,400,weekly,monthly,never,,95.6
Asia Pacific & Europe (excl UK),29-Mar-14,2-Mar-15,338,Model S 85,45650,134.7,385,No,45650,339,218,400,weekly,twice a month,never,,130.88
Asia Pacific & Europe (excl UK),17-Dec-14,5-Mar-15,78,Model S 85,8452,107,396,No,8452,79,248,400,weekly,monthly,never,,27.02
Asia Pacific & Europe (excl UK),15-Oct-14,6-Mar-15,142,Model S 85,649,4.5,393,No,649,143,242,400,twice a week,twice a week,never,,2.04
Asia Pacific & Europe (excl UK),31-Dec-13,7-Mar-15,431,Model S P85,71050,164.5,373,No,71050,432,229,400,weekly,weekly,monthly,,215.97
Asia Pacific & Europe (excl UK),16-Nov-13,9-Mar-15,478,Unspecified 85 kWh,39000,81.4,378,No,39000,479,222,400,never,never,once or twice a year,,114.19
Asia Pacific & Europe (excl UK),30-Dec-14,13-Mar-15,73,Model S 85,4400,59.5,394,No,4400,74,256,400,weekly,monthly,never,,14.56
Asia Pacific & Europe (excl UK),26-Mar-14,16-Mar-15,355,Model S P85,33240,93.4,383,No,33240,356,173,400,twice a month,a few times a year,never,,75.36
Asia Pacific & Europe (excl UK),4-Dec-13,18-Mar-15,469,Model S P85,50000,106.4,383,No,50000,470,237,400,monthly,twice a month,a few times a year,,156.24
Asia Pacific & Europe (excl UK),13-Sep-13,18-Mar-15,551,Model S P85+,43500,78.8,392,Yes,26769,340,235,400,a few times a year,a few times a year,once or twice a year,,82
Asia Pacific & Europe (excl UK),29-Nov-13,20-Mar-15,476,Model S P85,34533,72.4,377,Yes,34533,477,252,400,twice a month,twice a month,never,,114.93
Asia Pacific & Europe (excl UK),25-Nov-13,20-Mar-15,480,Model S P85+,41000,85.2,374,No,41000,481,228,400,twice a month,twice a month,never,,123.94
Asia Pacific & Europe (excl UK),7-Dec-13,21-Mar-15,469,Unspecified 85 kWh,72778,154.8,378,No,72778,470,214,400,monthly,twice a month,never,,206.66
Asia Pacific & Europe (excl UK),14-Nov-13,26-Mar-15,497,Unspecified 85 kWh,51255,102.9,375,No,51255,498,255,400,monthly,twice a month,a few times a year,,173.04
Asia Pacific & Europe (excl UK),30-Sep-14,29-Mar-15,180,Model S 85,20412,112.8,381,No,20412,181,269,400,twice a month,twice a month,never,70%,72.13
Asia Pacific & Europe (excl UK),15-Oct-14,29-Mar-15,165,Model S 85,5249,31.6,393,No,5249,166,242,400,twice a week,twice a month,never,,16.44
Asia Pacific & Europe (excl UK),15-Nov-13,6-Apr-15,507,Model S 85,60588,119.3,378,Yes,46954,394,235,400,weekly,twice a month,a few times a year,,145.52
Asia Pacific & Europe (excl UK),3/30/15,7-Apr-15,8,Model S P85D,317,35.2,404,No,317,9,225,408,twice a month,twice a month,never,,0.92
Asia Pacific & Europe (excl UK),14-Nov-13,9-Apr-15,511,Model S 85,38867,75.9,385,Yes,26867,354,239,400,monthly,a few times a year,never,,83.93
Asia Pacific & Europe (excl UK),20-Jun-14,10-Apr-15,294,Model S 85,27000,91.5,382,No,27000,295,250,400,twice a month,a few times a year,once or twice a year,,88.57
Asia Pacific & Europe (excl UK),15-Oct-14,11-Apr-15,178,Model S 85,8249,46.1,393,No,8249,179,232,400,twice a week,weekly,never,,24.76
Asia Pacific & Europe (excl UK),4-Jun-14,12-Apr-15,312,Model S 85,42379,135.4,379,No,42379,313,194,400,weekly,monthly,never,,108.96
Asia Pacific & Europe (excl UK),26-Sep-13,12-Apr-15,563,Model S 85,74020,131.2,375,Yes,74020,564,225,400,twice a month,twice a month,once or twice a year,,220.5
Asia Pacific & Europe (excl UK),10-Sep-13,14-Apr-15,581,Model S P85,100000,171.8,380,No,100000,582,218,400,twice a month,daily,once or twice a year,100%,286.76
Asia Pacific & Europe (excl UK),23-Dec-13,15-Apr-15,478,Model S 85,41000,85.6,384,No,41000,479,202,400,twice a month,a few times a year,never,,109.07
Asia Pacific & Europe (excl UK),23-Nov-13,15-Apr-15,508,Model S 60,27120,53.3,275,No,27120,509,213,289,twice a month,monthly,never,,101.22
Asia Pacific & Europe (excl UK),6-Nov-13,16-Apr-15,526,Unspecified 85 kWh,64000,121.4,385,No,64000,527,229,400,twice a month,twice a month,never,,191.55
Asia Pacific & Europe (excl UK),28-Mar-14,16-Apr-15,384,Unspecified 85 kWh,46000,119.5,383,No,46000,385,216,400,monthly,twice a month,never,,130.36
Asia Pacific & Europe (excl UK),26-Nov-13,16-Apr-15,506,Model S 85,31618,62.4,378,No,31618,507,200,400,monthly,a few times a year,never,,83.92
Asia Pacific & Europe (excl UK),3-Apr-15,17-Apr-15,14,Model S P85D,1904,126.9,403,No,1904,15,253,408,weekly,twice a month,never,,6.22
Asia Pacific & Europe (excl UK),18-Nov-13,18-Apr-15,516,Model S 85,60555,117.1,369,No,60555,517,229,400,twice a month,twice a month,monthly,,185.04
Asia Pacific & Europe (excl UK),25-Nov-13,19-Apr-15,510,Model S P85+,45800,89.6,374,No,45800,511,230,400,twice a month,twice a month,never,,139.66
Asia Pacific & Europe (excl UK),23-Dec-13,19-Apr-15,482,Model S P85,40500,83.9,373,No,40500,483,233,400,twice a month,monthly,monthly,,125.27
Asia Pacific & Europe (excl UK),29-Nov-13,20-Apr-15,507,Model S 85,46000,90.6,378,Yes,35649,394,266,400,monthly,a few times a year,a few times a year,,125.06
Asia Pacific & Europe (excl UK),26-Mar-14,20-Apr-15,390,Model S P85,35350,90.4,383,No,35350,391,173,400,twice a month,a few times a year,never,,80.64
Asia Pacific & Europe (excl UK),15-Apr-15,23-Apr-15,8,Model S 85D,550,61.1,403,No,550,9,233,430,weekly,weekly,,,1.7
Asia Pacific & Europe (excl UK),20-Sep-13,24-Apr-15,581,Model S P85,53600,92.1,376,No,53600,582,210,400,never,never,never,,149.76
Asia Pacific & Europe (excl UK),7-May-14,26-Apr-15,354,Model S 60,18793,52.9,272,No,18793,355,220,289,never,a few times a year,once or twice a year,,72.39
Asia Pacific & Europe (excl UK),13-Nov-13,27-Apr-15,530,Model S P85+,31215,58.8,385,No,31215,531,235,400,monthly,monthly,once or twice a year,,96.48
Asia Pacific & Europe (excl UK),3-Apr-15,28-Apr-15,25,Model S P85D,3272,125.8,406,No,3272,26,246,408,weekly,twice a month,never,,10.41
Asia Pacific & Europe (excl UK),16-Aug-14,27-Apr-15,254,Model S P85,20539,80.5,378,No,20539,255,244,400,twice a month,twice a month,a few times a year,,66.1
Asia Pacific & Europe (excl UK),15-Oct-14,29-Apr-15,196,Model S 85,11234,57,389,No,11234,197,228,400,twice a week,monthly,twice a month,,33.31
Asia Pacific & Europe (excl UK),21-Mar-15,7-May-15,47,Model S 85,8192,170.7,393,No,8192,48,224,400,weekly,twice a month,never,90%,23.74
Asia Pacific & Europe (excl UK),4-Jun-14,30-Apr-15,330,Model S P85,16011,48.4,383,No,16011,331,273,400,monthly,monthly,a few times a year,,57.28
Asia Pacific & Europe (excl UK),30-Mar-15,1-May-15,32,Model S P85D,1875,56.8,405,No,1875,33,212,408,twice a month,twice a month,never,80%,5.12
Asia Pacific & Europe (excl UK),13-Dec-13,4-May-15,507,Model S 85,34786,68.5,382,No,34786,508,218,400,twice a month,monthly,a few times a year,80%,99.51
Asia Pacific & Europe (excl UK),21-Nov-13,1-May-15,526,Model S 85,36800,69.8,380,No,36800,527,211,400,monthly,once or twice a year,once or twice a year,80%,102.15
Asia Pacific & Europe (excl UK),23-Sep-13,1-May-15,585,Model S P85,80101,136.7,378,Yes,62101,454,224,400,monthly,a few times a year,once or twice a year,80%,183.45
Asia Pacific & Europe (excl UK),10-Dec-13,5-May-15,511,Model S P85,45025,87.9,378,No,45025,512,207,400,twice a week,a few times a year,a few times a year,80%,122.92
Asia Pacific & Europe (excl UK),27-Mar-15,8-May-15,42,Model S P85D,3503,81.5,405,No,3503,43,268,408,twice a month,twice a month,monthly,90%,12.08
Asia Pacific & Europe (excl UK),3-Apr-15,7-May-15,34,Model S P85D,4144,118.4,406,No,4144,35,244,408,weekly,twice a month,never,80%,13.08
Asia Pacific & Europe (excl UK),3-Apr-15,10-May-15,37,Model S P85D,5903,155.3,406,No,5903,38,237,408,twice a week,twice a month,never,80%,18.1
Asia Pacific & Europe (excl UK),13-Sep-13,10-May-15,604,Model S P85+,50000,82.6,390,Yes,33333,403,225,400,monthly,twice a month,once or twice a year,90%,98.02
Asia Pacific & Europe (excl UK),30-Mar-15,10-May-15,41,Model S P85D,3772,89.8,410,No,3772,42,205,408,twice a week,weekly,once or twice a year,80%,9.95
Asia Pacific & Europe (excl UK),20-Nov-13,17-May-15,543,Model S 85,71820,132,370,No,71820,544,191,400,twice a week,monthly,never,70%,182.81
Asia Pacific & Europe (excl UK),26-Sep-13,18-May-15,599,Model S 85,78500,130.8,375,Yes,78500,600,224,400,twice a month,monthly,once or twice a year,90%,232.81
Asia Pacific & Europe (excl UK),31-Mar-14,19-May-15,414,Model S 85,57500,138.6,375,Yes,57500,415,254,400,twice a week,twice a month,a few times a year,90%,193.36
Asia Pacific & Europe (excl UK),31-Dec-13,19-May-15,504,Model S P85,80150,158.7,369,No,80150,505,229,400,,,,,244.91
Asia Pacific & Europe (excl UK),5-Dec-13,14-May-15,525,Model S P85,78527,149.3,372,No,78527,526,218,400,twice a month,a few times a year,never,70%,227.53
Asia Pacific & Europe (excl UK),26-Dec-14,18-May-15,143,Model S P85,18450,128.1,394,No,18450,144,242,400,twice a week,a few times a year,twice a month,70%,58.05
Asia Pacific & Europe (excl UK),10-Sep-13,22-May-15,619,Model S P85,105000,169.4,376,No,105000,620,218,400,twice a month,daily,once or twice a year,100%,302.66
Asia Pacific & Europe (excl UK),30-Mar-15,22-May-15,53,Model S P85D,4815,89.2,409,No,4815,54,208,408,weekly,weekly,never,80%,12.91
Asia Pacific & Europe (excl UK),27-Mar-15,22-May-15,56,Model S 85D,4700,82.5,405,No,4700,57,222,430,twice a month,monthly,never,90%,13.87
Asia Pacific & Europe (excl UK),23-Nov-13,26-May-15,549,Model S 60,31000,56.4,277,No,31000,550,210,289,twice a week,weekly,once or twice a year,90%,113.67
Asia Pacific & Europe (excl UK),4-Jun-14,20-May-15,350,Model S 85,48407,137.9,377,No,48407,351,192,400,twice a week,daily,a few times a year,90%,123.49
Asia Pacific & Europe (excl UK),4-Jun-14,24-May-15,354,Model S 85,49693,140,378,No,49693,355,192,400,twice a week,,a few times a year,90%,126.61
Asia Pacific & Europe (excl UK),15-Oct-14,27-May-15,224,Model S 85,14472,64.3,386,No,14472,225,225,400,twice a week,monthly,a few times a year,90%,42.51
Asia Pacific & Europe (excl UK),24-Jun-14,28-May-15,338,Model S 85,28500,84.1,387,No,28500,339,224,400,a few times a year,monthly,never,90%,83.75
Asia Pacific & Europe (excl UK),30-Mar-15,27-May-15,58,Model S P85D,5012,84.9,410,No,5012,59,206,408,weekly,weekly,never,80%,13.29
Asia Pacific & Europe (excl UK),30-Sep-14,18-Apr-15,200,Model S 85,21957,109.2,382,No,21957,201,267,400,a few times a year,twice a month,never,70%,76.92
Asia Pacific & Europe (excl UK),30-Sep-14,25-May-15,237,Model S 85,25069,105.3,381,No,25069,238,265,400,a few times a year,twice a month,never,70%,87.27
Asia Pacific & Europe (excl UK),26-Nov-13,18-May-15,538,Model S 85,60476,112.2,384,Yes,41741,372,230,400,a few times a year,a few times a year,a few times a year,70%,125.64
Asia Pacific & Europe (excl UK),29-Nov-13,29-May-15,546,Model S P85,42850,78.3,378,Yes,42850,547,250,400,twice a week,twice a month,once or twice a year,90%,141.29
Asia Pacific & Europe (excl UK),13-Dec-14,29-May-15,167,Model S 85,12440,74,388,No,12440,168,250,400,monthly,twice a month,once or twice a year,90%,40.49
Asia Pacific & Europe (excl UK),3-Apr-15,29-May-15,56,Model S P85D,6832,119.9,403,No,6832,57,237,408,weekly,twice a month,never,80%,21.02
Asia Pacific & Europe (excl UK),11-Dec-13,31-May-15,536,Model S 85,26000,48.4,378,No,26000,537,239,400,monthly,monthly,a few times a year,90%,81.97
Asia Pacific & Europe (excl UK),26-Sep-13,4-Jun-15,616,Model S 85,81000,131.3,375,Yes,81000,617,223,400,monthly,twice a month,a few times a year,90%,239.15
Asia Pacific & Europe (excl UK),3-Apr-15,4-Jun-15,62,Model S P85D,7882,125.1,403,No,7882,63,237,408,twice a week,twice a month,never,80%,24.26
Asia Pacific & Europe (excl UK),30-Mar-15,9-Jun-15,71,Model S P85D,5579,77.5,410,No,5579,72,205,408,weekly,weekly,never,80%,14.72
Asia Pacific & Europe (excl UK),17-Dec-14,29-May-15,163,Model S 85,17000,103.7,390,No,17000,164,233,400,monthly,a few times a year,never,80%,51.44
Asia Pacific & Europe (excl UK),17-Dec-14,6-Jun-15,171,Model S 85,17500,101.7,388,No,17500,172,233,400,monthly,a few times a year,never,80%,53.09
Asia Pacific & Europe (excl UK),14-Apr-15,10-Jun-15,57,Model S 85,3400,58.6,401,No,3400,58,225,400,never,twice a month,never,,9.8
Asia Pacific & Europe (excl UK),20-Nov-13,9-Jun-15,566,Model S 85,76550,135,378,No,76550,567,190,400,twice a week,monthly,never,70%,193
Asia Pacific & Europe (excl UK),6-Nov-13,11-Jun-15,582,Model S 60,37069,63.6,275,No,37069,583,213,289,never,a few times a year,a few times a year,80%,137.5
Asia Pacific & Europe (excl UK),25-Nov-13,12-Jun-15,564,Model S P85+,54000,95.6,384,No,54000,565,220,400,a few times a year,weekly,never,80%,155.47
Asia Pacific & Europe (excl UK),19-Nov-13,12-Jun-15,570,Model S 85,60000,105.1,388,No,60000,571,217,400,twice a month,weekly,once or twice a year,80%,170.58
Asia Pacific & Europe (excl UK),17-Dec-14,12-Jun-15,177,Model S 85,19015,106.8,388,No,19015,178,233,400,monthly,a few times a year,never,80%,57.69
Asia Pacific & Europe (excl UK),27-Mar-15,13-Jun-15,78,Model S 85D,6950,88,403,No,6950,79,220,430,twice a month,monthly,never,90%,20.37
Asia Pacific & Europe (excl UK),26-Mar-14,13-Jun-15,444,Model S P85,38128,85.7,384,No,38128,445,173,400,twice a month,a few times a year,never,80%,86.87
Asia Pacific & Europe (excl UK),30-Mar-15,20-Jun-15,82,Model S P85D,7339,88.4,410,No,7339,83,203,408,weekly,weekly,once or twice a year,80%,19.18
Asia Pacific & Europe (excl UK),15-Oct-14,29-Jun-15,257,Model S 85,18412,71.4,382,No,18412,258,223,400,weekly,monthly,a few times a year,80%,53.88
Asia Pacific & Europe (excl UK),20-Nov-13,28-Jun-15,585,Model S 85,80840,138,383,No,80840,586,189,400,twice a week,monthly,never,70%,201.45
Asia Pacific & Europe (excl UK),10-Sep-13,29-Jun-15,657,Model S P85,111000,168.7,372,No,111000,658,218,400,twice a month,daily,once or twice a year,100%,321.62
Asia Pacific & Europe (excl UK),19-May-15,26-Jun-15,38,Model S 60,2300,59,286,No,2300,39,200,289,monthly,monthly,never,80%,7.86
Asia Pacific & Europe (excl UK),22-Nov-13,7-Jul-15,592,Model S 85,63372,106.9,375,No,63372,593,203,400,a few times a year,a few times a year,never,90%,171.37
Asia Pacific & Europe (excl UK),11-Dec-14,11-Jul-15,212,Model S 85,48500,227.7,385,No,48500,213,225,400,daily,twice a month,once or twice a year,80%,143.51
Asia Pacific & Europe (excl UK),24-Jun-14,19-Jul-15,390,Model S 85,52221,133.6,382,No,52221,391,225,400,monthly,a few times a year,once or twice a year,90%,155.12
Asia Pacific & Europe (excl UK),10-Sep-13,29-Jul-15,687,Model S P85,120000,174.4,372,No,120000,688,218,400,twice a month,daily,once or twice a year,100%,347.69
Asia Pacific & Europe (excl UK),3-Apr-15,30-Jul-15,118,Model S P85D,11053,92.9,396,No,11053,119,237,408,twice a month,twice a month,never,70%,34.31
Asia Pacific & Europe (excl UK),30-Mar-15,2-Aug-15,125,Model S P85D,9484,75.3,409,No,9484,126,200,408,twice a month,monthly,once or twice a year,80%,24.45
Asia Pacific & Europe (excl UK),26-Feb-13,31-Jul-15,885,Model S P85,63067,71.2,379,No,63067,886,200,400,never,,,,166.15
Asia Pacific & Europe (excl UK),26-Mar-14,1-Aug-15,493,Model S P85,41924,84.9,384,No,41924,494,171,400,twice a month,a few times a year,never,80%,94.41
Asia Pacific & Europe (excl UK),15-Oct-14,8-Aug-15,297,Model S 85,25412,85.3,381,No,25412,298,220,400,weekly,monthly,a few times a year,90%,73.45
Asia Pacific & Europe (excl UK),3-Apr-15,8-Aug-15,127,Model S P85D,11403,89.1,395,No,11403,128,236,408,twice a month,monthly,never,70%,35.29
Asia Pacific & Europe (excl UK),3-Apr-15,9-Aug-15,128,Model S P85D,11743,91,394,No,11743,129,235,408,twice a month,monthly,never,70%,36.23
Asia Pacific & Europe (excl UK),23-Nov-13,9-Aug-15,624,Model S 60,35900,57.4,276,No,35900,625,209,289,twice a week,a few times a year,once or twice a year,70%,130.44
Asia Pacific & Europe (excl UK),,31-Jul-15,42216,Model S 85,13200,,384,No,13200,,197,400,,,,,34.03
Asia Pacific & Europe (excl UK),30-Dec-14,11-Aug-15,224,Model S 85,11500,51.1,394,No,11500,225,230,400,weekly,a few times a year,once or twice a year,70%,34.18
Asia Pacific & Europe (excl UK),19-Sep-13,11-Aug-15,691,Model S 85,77500,112,382,Yes,77500,692,238,400,twice a month,monthly,once or twice a year,90%,243.51
Asia Pacific & Europe (excl UK),7-Jul-15,11-Aug-15,35,Model S 85,5650,156.9,399,No,5650,36,205,400,twice a week,twice a month,once or twice a year,90%,14.87
Asia Pacific & Europe (excl UK),23-Dec-13,9-Aug-15,594,Model S P85,52500,88.2,373,No,52500,595,233,400,a few times a year,a few times a year,a few times a year,90%,162.39
Asia Pacific & Europe (excl UK),26-Sep-13,12-Aug-15,685,Model S 85,90600,132.1,378,Yes,90600,686,219,400,monthly,twice a month,a few times a year,90%,263.29
Asia Pacific & Europe (excl UK),5-Jun-15,12-Aug-15,68,Model S 85D,18650,270.3,398,No,18650,69,207,430,twice a week,twice a month,never,90%,51.43
Asia Pacific & Europe (excl UK),26-Nov-13,12-Aug-15,624,Model S P85,102000,163.2,362,Yes,86475,530,215,400,twice a month,monthly,once or twice a year,80%,250.37
Asia Pacific & Europe (excl UK),30-Sep-14,11-Aug-15,315,Model S 85,31500,99.7,376,No,31500,316,262,400,monthly,twice a month,once or twice a year,80%,109.13
Asia Pacific & Europe (excl UK),31-Dec-13,12-Aug-15,589,Model S P85,94500,160.2,370,No,94500,590,218,400,,,,,274.53
Asia Pacific & Europe (excl UK),13-Nov-13,13-Aug-15,638,Model S P85+,37900,59.3,382,No,37900,639,226,400,twice a month,a few times a year,once or twice a year,60%,113.09
Asia Pacific & Europe (excl UK),14-Aug-15,15-Aug-15,1,Model S 70D,300,150,339,No,300,2,187,365,,twice a month,twice a month,90%,0.84
Asia Pacific & Europe (excl UK),15-Aug-15,16-Aug-15,1,Model S 70D,130,65,336,No,130,2,208,365,,,,,0.41
Asia Pacific & Europe (excl UK),4-Jun-14,24-Jul-15,415,Model S 85,60689,145.9,374,No,60689,416,189,400,weekly,a few times a year,a few times a year,90%,152.99
Asia Pacific & Europe (excl UK),4-Jun-14,31-Jul-15,422,Model S 85,61228,144.7,376,No,61228,423,189,400,weekly,a few times a year,a few times a year,90%,153.95
Asia Pacific & Europe (excl UK),4-Jun-14,1-Aug-15,423,Model S 85,62102,146.5,377,No,62102,424,189,400,weekly,a few times a year,a few times a year,90%,155.95
Asia Pacific & Europe (excl UK),4-Jun-14,4-Aug-15,426,Model S 85,62375,146.1,376,No,62375,427,189,400,weekly,a few times a year,a few times a year,90%,156.84
Asia Pacific & Europe (excl UK),4-Jun-14,5-Aug-15,427,Model S 85,62465,145.9,377,No,62465,428,189,400,weekly,a few times a year,a few times a year,90%,156.86
Asia Pacific & Europe (excl UK),4-Jun-14,7-Aug-15,429,Model S 85,62669,145.7,378,No,62669,430,189,400,weekly,a few times a year,a few times a year,90%,157.17
Asia Pacific & Europe (excl UK),4-Jun-14,9-Aug-15,431,Model S 85,62764,145.3,378,No,62764,432,189,400,weekly,a few times a year,a few times a year,90%,157.41
Asia Pacific & Europe (excl UK),4-Jun-14,13-Aug-15,435,Model S 85,63103,144.7,379,No,63103,436,189,400,weekly,a few times a year,a few times a year,90%,158.06
Asia Pacific & Europe (excl UK),30-Nov-13,18-Aug-15,626,Model S 85,54500,86.9,371,Yes,42312,487,265,400,twice a month,a few times a year,a few times a year,90%,149.23
Asia Pacific & Europe (excl UK),30-Mar-15,15-Aug-15,138,Model S P85D,10843,78,408,No,10843,139,199,408,twice a month,twice a month,a few times a year,80%,27.85
Asia Pacific & Europe (excl UK),11-Dec-13,18-Aug-15,615,Model S P85,68000,110.4,384,No,68000,616,232,400,twice a month,twice a month,a few times a year,90%,206.46
Asia Pacific & Europe (excl UK),14-Nov-13,15-Aug-15,639,Model S 85,52619,82.2,381,Yes,40619,494,238,400,twice a month,a few times a year,once or twice a year,90%,127.01
Asia Pacific & Europe (excl UK),21-Mar-15,19-Aug-15,151,Model S 85,20120,132.4,389,No,20120,152,216,400,monthly,a few times a year,once or twice a year,90%,56.51
Asia Pacific & Europe (excl UK),19-Jun-15,20-Aug-15,62,Model S 85D,4761,75.6,402,No,4761,63,227,430,a few times a year,a few times a year,a few times a year,90%,14.33
Asia Pacific & Europe (excl UK),20-Nov-13,20-Aug-15,638,Model S 85,88160,138,377,No,88160,639,187,400,twice a week,twice a month,never,70%,219.05
Asia Pacific & Europe (excl UK),23-Dec-13,24-Aug-15,609,Model S 85,49500,81.1,378,No,49500,610,200,400,twice a month,a few times a year,never,70%,131.38
Asia Pacific & Europe (excl UK),26-Nov-13,22-Aug-15,634,Model S 85,70030,110.3,370,Yes,58482,530,223,400,monthly,a few times a year,a few times a year,70%,173.8
Asia Pacific & Europe (excl UK),24-Jun-15,25-Aug-15,62,Model S 85D,2200,34.9,404,No,2200,63,218,430,a few times a year,a few times a year,never,90%,6.38
Asia Pacific & Europe (excl UK),24-Jun-14,26-Aug-15,428,Model S 85,60000,139.9,384,No,60000,429,223,400,monthly,a few times a year,once or twice a year,90%,176.19
Asia Pacific & Europe (excl UK),15-Nov-13,30-Aug-15,653,Model S 85,79470,121.5,359,Yes,79470,654,225,400,a few times a year,a few times a year,once or twice a year,70%,241.76
Asia Pacific & Europe (excl UK),13-Dec-14,31-Aug-15,261,Model S 85,21956,83.8,386,No,21956,262,225,400,a few times a year,a few times a year,once or twice a year,90%,64.49
Asia Pacific & Europe (excl UK),23-Nov-13,31-Aug-15,646,Model S 85,31960,49.4,378,No,31960,647,214,400,a few times a year,a few times a year,once or twice a year,80%,90.77
Asia Pacific & Europe (excl UK),5-Dec-13,1-Sep-15,635,Model S P85,96560,151.8,370,No,96560,636,216,400,monthly,a few times a year,never,60%,277.95
Asia Pacific & Europe (excl UK),29-Nov-13,4-Sep-15,644,Model S P85,50950,79,379,Yes,50950,645,218,400,,,,,147.21
Asia Pacific & Europe (excl UK),30-Mar-15,8-Sep-15,162,Model S P85D,13087,80.3,407,No,13087,163,198,408,,,,80%,33.48
